temperature,humidity,airflow,openness,Q
28.17,20.58719903,43,0.43,0
28.18,20.62998562,43,0.43,0
28.16,20.62794623,43,0.41,0
28.14,20.6182973,43,0.43,0
28.13,20.63367528,43,0.43,0
28.11,20.58614718,43,0.42,0
28.1,20.61157592,43,0.42,0
28.1,20.60905467,43,0.42,0
28.1,20.62418249,43,0.42,0
28.08,20.62958438,43,0.43,0
28.06,20.62739447,43,0.43,0
28.04,20.60256469,43,0.42,0
28.06,20.67519285,43,0.43,0
28.04,20.67040644,43,0.43,0
28.03,20.6880973,43,0.43,0
27.99,20.66085186,43,0.43,0
27.97,20.68101408,43,0.43,0
27.93,20.63870448,43,0.43,0
27.94,20.69611881,43,0.43,0
27.91,20.69613243,43,0.43,0
27.92,20.74106,43,0.43,0
27.9,20.74597812,43,0.43,0
27.9,20.77589639,43,0.43,0
27.88,20.79318814,43,0.43,0
27.88,20.8405117,43,0.41,0
27.87,20.85781746,43,0.41,0
27.85,20.88488563,43,0.43,0
27.8,20.79717279,43,0.43,0
27.83,20.83982636,43,0.43,0
27.8,20.73768336,43,0.43,0
27.81,20.71548282,43,0.43,0
27.84,20.70332913,43,0.43,0
27.85,20.66859968,43,0.43,0
27.84,20.64371801,43,0.41,0
27.89,20.67368013,43,0.42,0
27.86,20.60398987,43,0.42,0
27.86,20.60398987,43,0.41,0
27.87,20.60895608,43,0.42,0
27.89,20.62386284,43,0.43,0
27.88,20.60396356,43,0.43,0
27.9,20.60888837,43,0.43,0
27.92,20.63125715,43,0.43,0
27.95,20.67609868,43,0.43,0
27.94,20.63366212,43,0.43,0
27.95,20.63110521,43,0.42,0
27.95,20.61610878,43,0.43,0
27.96,20.62103451,43,0.43,0
27.98,20.65591824,43,0.43,0
27.95,20.58611803,43,0.43,0
27.95,20.63610417,43,0.43,0
27.95,20.66609959,43,0.41,0
27.92,20.626267,43,0.43,0
27.89,20.59895709,43,0.42,0
27.88,20.57658502,43,0.43,0
27.89,20.62386284,43,0.43,0
27.88,20.6014745,43,0.43,0
27.88,20.61889829,43,0.41,0
27.85,20.59902135,43,0.42,0
27.88,20.67117532,43,0.42,0
27.88,20.71101115,43,0.43,0
27.89,20.7509122,43,0.42,0
27.87,20.73585131,43,0.43,0
27.86,20.74821954,43,0.43,0
27.86,20.77060581,43,0.43,0
27.87,20.81300819,43,0.43,0
27.83,20.78022472,43,0.43,0
27.79,20.74498829,43,0.42,0
27.83,20.83982636,43,0.41,0
27.8,20.79469384,43,0.43,0
27.81,20.79732576,43,0.42,0
27.8,20.76246928,43,0.42,0
27.8,20.75999061,43,0.43,0
27.79,20.71774128,43,0.43,0
27.78,20.68543922,43,0.42,0
27.8,20.68811724,43,0.43,0
27.83,20.73056513,43,0.43,0
27.82,20.71309864,43,0.43,0
27.86,20.77060581,43,0.43,0
27.84,20.74307603,43,0.43,0
27.86,20.77806824,43,0.42,0
27.82,20.71557985,43,0.43,0
27.84,20.71823364,43,0.43,0
27.85,20.70836548,43,0.43,0
27.87,20.73336268,43,0.43,0
27.89,20.74343732,43,0.43,0
27.89,20.7160309,43,0.43,0
27.91,20.75599739,43,0.43,0
27.91,20.73853563,43,0.43,0
27.89,20.66620704,43,0.43,0
27.9,20.70858421,43,0.43,0
27.94,20.74859182,43,0.43,0
27.97,20.74108616,43,0.43,0
27.96,20.72858875,43,0.41,0
28.01,20.79365365,43,0.43,0
28.04,20.80613292,43,0.43,0
28.04,20.79607714,43,0.43,0
28.08,20.82356496,43,0.43,0
28.09,20.8235026,43,0.43,0
28.12,20.86115572,43,0.43,0
28.12,20.84094704,43,0.43,0
28.13,20.85097167,43,0.43,0
28.19,20.92895657,43,0.43,0
28.19,20.92388257,43,0.43,0
28.23,20.94888044,43,0.43,0
28.22,20.89307563,43,0.43,0
28.3,21.03984142,43,0.42,0
28.28,20.97628158,43,0.43,0
28.33,21.02154615,43,0.41,0
28.33,20.97037997,43,0.43,0
28.34,20.98043301,43,0.43,0
28.35,20.99048978,43,0.43,0
28.36,20.99798746,43,0.43,0
28.36,20.98261107,43,0.43,0
